Date,Close*
8/31/2022,89.55
8/30/2022,91.64
8/29/2022,97.01
8/26/2022,93.06
8/25/2022,92.52
8/24/2022,94.89
8/23/2022,93.74
8/22/2022,90.23
8/19/2022,90.77
8/18/2022,90.5
8/17/2022,88.11
8/16/2022,86.53
8/15/2022,89.41
8/12/2022,92.09
8/11/2022,94.34
8/10/2022,91.93
8/9/2022,90.5
8/8/2022,90.76
8/5/2022,89.01
8/4/2022,88.54
8/3/2022,90.66
8/2/2022,94.42
8/1/2022,93.89
7/29/2022,98.62
7/28/2022,96.42
7/27/2022,97.26
7/26/2022,94.98
7/25/2022,96.7
7/22/2022,94.7
7/21/2022,96.35
7/20/2022,102.26
7/19/2022,104.22
7/18/2022,102.6
7/15/2022,97.59
7/14/2022,95.78
7/13/2022,96.3
7/12/2022,95.84
7/11/2022,104.09
7/8/2022,104.79
7/7/2022,102.73
7/6/2022,98.53
7/5/2022,99.5
7/1/2022,108.43
6/30/2022,105.76
6/29/2022,109.78
6/28/2022,111.76
6/27/2022,109.57
6/24/2022,107.62
6/23/2022,104.27
6/22/2022,106.19
6/21/2022,110.65
6/17/2022,109.56
6/16/2022,117.59
6/15/2022,115.31
6/14/2022,118.93
6/13/2022,120.93
6/10/2022,120.67
6/9/2022,121.51
6/8/2022,122.11
6/7/2022,119.41
6/6/2022,118.5
6/3/2022,118.87
6/2/2022,116.87
6/1/2022,115.26
5/31/2022,114.67
5/27/2022,115.07
5/26/2022,114.09
5/25/2022,110.33
5/24/2022,109.77
5/23/2022,110.29
5/20/2022,113.23
5/19/2022,112.21
5/18/2022,109.59
5/17/2022,112.4
5/16/2022,114.2
5/13/2022,110.49
5/12/2022,106.13
5/11/2022,105.71
5/10/2022,99.76
5/9/2022,103.09
5/6/2022,109.77
5/5/2022,108.26
5/4/2022,107.81
5/3/2022,102.41
5/2/2022,105.17
4/29/2022,104.69
4/28/2022,105.36
4/27/2022,102.02
4/26/2022,101.7
4/25/2022,98.54
4/22/2022,102.07
4/21/2022,103.79
4/20/2022,102.75
4/19/2022,102.56
4/18/2022,108.21
4/14/2022,106.95
4/13/2022,104.25
4/12/2022,100.6
4/11/2022,94.29
4/8/2022,98.26
4/7/2022,96.03
4/6/2022,96.23
4/5/2022,101.96
4/4/2022,103.28
4/1/2022,99.27
3/31/2022,100.28
3/30/2022,107.82
3/29/2022,104.24
3/28/2022,105.96
3/25/2022,113.9
3/24/2022,112.34
3/23/2022,114.93
3/22/2022,111.76
3/21/2022,112.12
3/18/2022,104.7
3/17/2022,102.98
3/16/2022,95.04
3/15/2022,96.44
3/14/2022,103.01
3/11/2022,109.33
3/10/2022,106.02
3/9/2022,108.7
3/8/2022,123.7
3/7/2022,119.4
3/4/2022,115.68
3/3/2022,107.67
3/2/2022,110.6
3/1/2022,103.41
2/28/2022,95.72
2/25/2022,91.59
2/24/2022,92.81
2/23/2022,92.1
2/22/2022,92.35
2/18/2022,91.07
2/17/2022,91.76
2/16/2022,93.66
2/15/2022,92.07
2/14/2022,95.46
2/11/2022,93.1
2/10/2022,89.88
2/9/2022,89.66
2/8/2022,89.36
2/7/2022,91.32
2/4/2022,92.31
2/3/2022,90.27
2/2/2022,88.26
2/1/2022,88.2
1/31/2022,88.15
1/28/2022,86.82
1/27/2022,86.61
1/26/2022,87.35
1/25/2022,85.6
1/24/2022,83.31
1/21/2022,85.14
1/20/2022,86.9
1/19/2022,86.96
1/18/2022,85.43
1/14/2022,83.82
1/13/2022,82.12
1/12/2022,82.64
1/11/2022,81.22
1/10/2022,78.23
1/7/2022,78.9
1/6/2022,79.46
1/5/2022,77.85
1/4/2022,76.99
1/3/2022,76.08
12/31/2021,75.21
12/30/2021,76.99
12/29/2021,76.56
12/28/2021,75.98
12/27/2021,75.57
12/23/2021,73.79
12/22/2021,72.76
12/21/2021,71.12
12/20/2021,68.23
12/17/2021,70.86
12/16/2021,72.38
12/15/2021,70.87
12/14/2021,70.73
12/13/2021,71.29
12/10/2021,71.67
12/9/2021,70.94
12/8/2021,72.36
12/7/2021,72.05
12/6/2021,69.49
12/3/2021,66.26
12/2/2021,66.5
12/1/2021,65.57
11/30/2021,66.18
11/29/2021,69.95
11/26/2021,68.15
11/24/2021,78.39
11/23/2021,78.5
11/22/2021,76.75
11/19/2021,76.1
11/18/2021,79.01
11/17/2021,78.36
11/16/2021,80.76
11/15/2021,80.88
11/12/2021,80.79
11/11/2021,81.59
11/10/2021,81.34
11/9/2021,84.15
11/8/2021,81.93
11/5/2021,81.27
11/4/2021,78.81
11/3/2021,80.86
11/2/2021,83.91
11/1/2021,84.05
10/29/2021,83.57
10/28/2021,82.81
10/27/2021,82.66
10/26/2021,84.65
10/25/2021,83.76
10/22/2021,83.76
10/21/2021,82.5
10/20/2021,83.87
10/19/2021,82.96
10/18/2021,82.44
10/15/2021,82.28
10/14/2021,81.31
10/13/2021,80.44
10/12/2021,80.64
10/11/2021,80.52
10/8/2021,79.35
10/7/2021,78.3
10/6/2021,77.43
10/5/2021,78.93
10/4/2021,77.62
10/1/2021,75.88
9/30/2021,75.03
9/29/2021,74.83
9/28/2021,75.29
9/27/2021,75.45
9/24/2021,73.98
9/23/2021,73.3
9/22/2021,72.23
9/21/2021,70.56
9/20/2021,70.29
9/17/2021,71.97
9/16/2021,72.61
9/15/2021,72.61
9/14/2021,70.46
9/13/2021,70.45
9/10/2021,69.72
9/9/2021,68.14
9/8/2021,69.3
9/7/2021,68.35
9/3/2021,69.29
9/2/2021,69.99
9/1/2021,68.59
8/31/2021,68.5
8/30/2021,69.21
8/27/2021,68.74
8/26/2021,67.42
8/25/2021,68.36
8/24/2021,67.54
8/23/2021,65.64
8/20/2021,62.32
8/19/2021,63.69
8/18/2021,65.46
8/17/2021,66.59
8/16/2021,67.29
8/13/2021,68.44
8/12/2021,69.09
8/11/2021,69.25
8/10/2021,68.29
8/9/2021,66.48
8/6/2021,68.28
8/5/2021,69.09
8/4/2021,68.15
8/3/2021,70.56
8/2/2021,71.26
7/30/2021,73.95
7/29/2021,73.62
7/28/2021,72.39
7/27/2021,71.65
7/26/2021,71.91
7/23/2021,72.07
7/22/2021,71.91
7/21/2021,70.3
7/20/2021,67.42
7/19/2021,66.42
7/16/2021,71.81
7/15/2021,71.65
7/14/2021,73.13
7/13/2021,75.25
7/12/2021,74.1
7/9/2021,74.56
7/8/2021,72.94
7/7/2021,72.2
7/6/2021,73.37
7/2/2021,75.16
7/1/2021,75.23
6/30/2021,73.47
6/29/2021,72.98
6/28/2021,72.91
6/25/2021,74.05
6/24/2021,73.3
6/23/2021,73.08
6/22/2021,73.06
6/21/2021,73.66
6/18/2021,71.64
6/17/2021,71.04
6/16/2021,72.15
6/15/2021,72.12
6/14/2021,70.88
6/11/2021,70.91
6/10/2021,70.29
6/9/2021,69.96
6/8/2021,70.05
6/7/2021,69.23
6/4/2021,69.62
6/3/2021,68.81
6/2/2021,68.83
6/1/2021,67.72
5/28/2021,66.32
5/27/2021,66.85
5/26/2021,66.21
5/25/2021,66.07
